VIA,Tipo,Subtipo
2514,Histórico,
2517,Histórico,
2520,Hombre,
2522,Artes/Cultura,
2523,Hombre,
2524,Hombre,
2525,Hombre,
2526,Lugar/Ciudad,
2527,Astronómico,
2528,Descriptivo,
2529,Hombre,
2530,Hombre,
2532,Hombre,
2535,Hombre,
2536,Hombre,
2538,Hombre,
2541,Hombre,
2542,Hombre,
2544,Hombre,
2547,Pais/Nación/Región,
2548,Astronómico,
2550,Histórico,
2553,Hombre,
2559,Geográfico,
2562,Pais/Nación/Región,
2565,Otro,
2567,Flora,
2568,Lugar/Ciudad,
2572,Hombre,
2574,Otro,
2575,Artes/Cultura,
2577,Hombre,
2580,Lugar/Ciudad,
2586,Hombre,
2589,Hombre,
2592,Hombre,
2595,Hombre,
2596,Artes/Cultura,
2598,Hombre,
2600,Hombre,
2601,Geográfico,
2604,Hombre,
2605,Geográfico,
2610,Hombre,
2613,Lugar/Ciudad,
2616,Hombre,
2619,Hombre,
2622,Hombre,
2628,Hombre,
2630,Hombre,
2631,Hombre,
2634,Hombre,
2638,Astronómico,
2640,Hombre,
2643,Familia,
2646,Hombre,
2647,Hombre,
2648,Pais/Nación/Región,
2649,Geográfico,
2650,Pais/Nación/Región,
2651,Histórico,
2652,Geográfico,
2654,Hombre,
2655,Hombre,
2656,Hombre,
2657,Hombre,
2658,Hombre,
2659,Mujer,Educación
2661,Hombre,
2664,Hombre,
2665,Artes/Cultura,
2667,Artes/Cultura,
2670,Familia,
2671,Artes/Cultura,
2673,Otro,
2676,Artes/Cultura,
2679,Artes/Cultura,
2682,Hombre,
2685,Hombre,
2688,Hombre,
2689,Hombre,
2690,Hombre,
2691,Hombre,
2692,Hombre,
2693,Hombre,
2694,Lugar/Ciudad,
2699,Hombre,
2700,Hombre,
2701,Hombre,
2702,Hombre,
2703,Hombre,
2704,Hombre,
2705,Hombre,
2706,Artes/Cultura,
2707,Hombre,
2708,Hombre,
2709,Hombre,
2710,Hombre,
2712,Hombre,
2713,Hombre,
2715,Hombre,
2717,Hombre,
